                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.9749,                 1.5815,                 1.9762,                0.97945,                0.66667,                0.68538,                0.50823,                 1.1264,                 1.6234,                 2.1534,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.4239,                 1.2743,                 1.9665,                0.97945,                0.66667,                0.68538,                0.50823,                 1.1264,                 1.6234,                 2.1534,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.6793,                 1.7427,                 2.6034,                0.97803,                0.66667,                0.66626,                0.50567,                  1.136,                 1.5868,                 2.1527,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.4158,                 1.1935,                 2.0057,                0.97803,                0.66667,                0.66626,                0.50567,                  1.136,                 1.5868,                 2.1527,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.5777,                 1.5547,                 2.3528,                0.98292,                0.66667,                0.66568,                 0.5048,                 1.1627,                 1.6154,                 2.1685,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.5907,                 1.3328,                 1.9467,                0.98292,                0.66667,                0.66568,                 0.5048,                 1.1627,                 1.6154,                 2.1685,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.4079,                 1.3382,                 1.9636,                0.99526,                0.66667,                0.66539,                0.51305,                  1.143,                 1.5579,                 2.1244,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.6867,                 1.2135,                 2.0353,                0.99526,                0.66667,                0.66539,                0.51305,                  1.143,                 1.5579,                 2.1244,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.4072,                 1.2965,                 2.0827,                 0.9964,                0.66667,                0.67016,                0.52156,                 1.0759,                  1.458,                 2.0393,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.3172,                 1.2013,                 1.8665,                 0.9964,                0.66667,                0.67016,                0.52156,                 1.0759,                  1.458,                 2.0393,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.3519,                 1.2823,                 1.9761,                0.99643,                0.66667,                  0.995,                  0.691,                 1.0442,                 1.2502,                 1.9118,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.2396,                 1.0985,                 1.8721,                0.99643,                0.66667,                  0.995,                  0.691,                 1.0442,                 1.2502,                 1.9118,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.5615,                 1.5672,                 2.2187,                0.84236,                0.98887,                  0.995,                0.71053,                0.99575,                 1.1094,                 1.8348,             0.00026894,             0.00026894,             0.00026894
                     85,                  1.165,                 1.2827,                 1.8825,                0.84236,                0.98887,                  0.995,                0.71053,                0.99575,                 1.1094,                 1.8348,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.5121,                 1.4189,                 1.9611,                0.94655,                0.99583,                  0.995,                0.72048,                0.97667,                 1.0687,                 1.8137,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.5453,                 1.4032,                 2.1133,                0.94655,                0.99583,                  0.995,                0.72048,                0.97667,                 1.0687,                 1.8137,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.9231,                 1.7274,                 2.3641,                0.95352,                      1,                  0.995,                0.73282,                0.96101,                 1.0939,                 1.8134,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.5803,                 1.2534,                  2.184,                0.95352,                      1,                  0.995,                0.73282,                0.96101,                 1.0939,                 1.8134,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.5595,                 1.2036,                 1.8918,                0.93426,                      1,                  0.995,                0.73032,                0.96721,                 1.1406,                  1.826,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.1155,                 1.2808,                 1.8437,                0.93426,                      1,                  0.995,                0.73032,                0.96721,                 1.1406,                  1.826,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.0251,                 1.2413,                 1.7627,                0.92736,                      1,                  0.995,                0.71876,                 0.9702,                 1.1822,                 1.8326,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.3637,                 1.4508,                  2.222,                0.92736,                      1,                  0.995,                0.71876,                 0.9702,                 1.1822,                 1.8326,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.2024,                 1.4004,                 2.0473,                0.92532,                0.98932,                  0.995,                0.72675,                0.95831,                  1.191,                 1.8249,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.0194,                 1.2645,                 1.6944,                0.92532,                0.98932,                  0.995,                0.72675,                0.95831,                  1.191,                 1.8249,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.2469,                 1.3942,                  2.108,                0.96368,                0.99231,                  0.995,                0.73068,                0.93527,                 1.1915,                 1.8135,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.0696,                 1.2313,                 1.8832,                0.96368,                0.99231,                  0.995,                0.73068,                0.93527,                 1.1915,                 1.8135,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.2483,                 1.3787,                 1.9844,                0.97567,                0.98869,                  0.995,                0.73151,                0.91493,                 1.1671,                 1.7949,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.1041,                 1.4078,                  2.117,                0.97567,                0.98869,                  0.995,                0.73151,                0.91493,                 1.1671,                 1.7949,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.2633,                   1.46,                 1.8108,                0.98118,                0.99102,                  0.995,                0.74058,                 0.9027,                 1.1535,                  1.779,             4.2584e-05,             4.2584e-05,             4.2584e-05
