                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.99193,                0.84643,                 1.4907,                0.97897,                      1,                  0.995,                0.77851,                 0.8398,                0.77796,                  1.504,              0.0012394,              0.0012394,              0.0012394
                    137,                 1.0333,                0.84518,                 1.4115,                0.97897,                      1,                  0.995,                0.77851,                 0.8398,                0.77796,                  1.504,               0.001238,               0.001238,               0.001238
                    138,                0.98836,                 0.9842,                 1.5224,                0.98006,                0.98233,                  0.995,                0.78074,                0.81974,                0.81159,                 1.5091,              0.0012366,              0.0012366,              0.0012366
                    139,                 1.1904,                 1.0321,                 1.6698,                0.98006,                0.98233,                  0.995,                0.78074,                0.81974,                0.81159,                 1.5091,              0.0012352,              0.0012352,              0.0012352
                    140,                 1.1525,                0.95661,                 1.4635,                0.98081,                0.98762,                  0.995,                0.76732,                0.81331,                0.76387,                 1.5263,              0.0012338,              0.0012338,              0.0012338
                    141,                 1.0131,                0.89153,                 1.5088,                0.98081,                0.98762,                  0.995,                0.76732,                0.81331,                0.76387,                 1.5263,              0.0012324,              0.0012324,              0.0012324
                    142,                  1.273,                 1.0078,                 1.8595,                0.98258,                0.99599,                  0.995,                0.78366,                0.76911,                0.72816,                 1.4718,              0.0012309,              0.0012309,              0.0012309
                    143,                 1.0261,                0.99836,                 1.6048,                0.98258,                0.99599,                  0.995,                0.78366,                0.76911,                0.72816,                 1.4718,              0.0012295,              0.0012295,              0.0012295
                    144,                0.90828,                0.75023,                 1.3444,                0.98172,                0.98333,                0.99348,                0.80926,                0.75974,                0.69851,                 1.4555,              0.0012281,              0.0012281,              0.0012281
                    145,                0.95395,                0.90414,                 1.3947,                0.98172,                0.98333,                0.99348,                0.80926,                0.75974,                0.69851,                 1.4555,              0.0012267,              0.0012267,              0.0012267
                    146,                0.97918,                0.82624,                 1.5944,                0.98693,                0.99349,                  0.995,                0.80347,                0.80909,                0.74123,                 1.4591,              0.0012253,              0.0012253,              0.0012253
                    147,                 1.1268,                0.90179,                 1.6737,                0.98693,                0.99349,                  0.995,                0.80347,                0.80909,                0.74123,                 1.4591,              0.0012239,              0.0012239,              0.0012239
                    148,                 1.0185,                0.80623,                 1.4733,                0.96636,                0.97735,                0.98889,                0.76891,                0.77479,                0.72803,                 1.4468,              0.0012225,              0.0012225,              0.0012225
                    149,                0.87877,                0.75665,                 1.4329,                0.96636,                0.97735,                0.98889,                0.76891,                0.77479,                0.72803,                 1.4468,               0.001221,               0.001221,               0.001221
                    150,                0.93032,                0.82237,                 1.4968,                0.97232,                 0.9848,                0.99024,                0.80493,                0.74514,                0.76345,                 1.4467,              0.0012196,              0.0012196,              0.0012196
                    151,                0.90985,                0.81534,                 1.4367,                0.97232,                 0.9848,                0.99024,                0.80493,                0.74514,                0.76345,                 1.4467,              0.0012182,              0.0012182,              0.0012182
